fighter_url,first_name,last_name,nickname,height_inches,weight_lbs,reach_inches,stance,wins,loss,draws,belt
http://www.ufcstats.com/fighter-details/956dcac65e7b34d6,David,Avellan,,69.0,185.0,,Orthodox,2,1,0,False
http://www.ufcstats.com/fighter-details/8753e125f4499816,Blas,Avena,The Disciple,72.0,170.0,74.0,Orthodox,8,7,0,False
http://www.ufcstats.com/fighter-details/ba5c6eeb8ef45f5c,Levi,Avera,,73.0,170.0,,,18,15,0,False
http://www.ufcstats.com/fighter-details/033d19259f589457,Anthony,Avila,,67.0,145.0,,,13,5,0,False
http://www.ufcstats.com/fighter-details/4665cbf36b08193b,Chris,Avila,,70.0,145.0,,Orthodox,5,4,0,False
http://www.ufcstats.com/fighter-details/86d9dbe1bfcbade7,Julia,Avila,Raging Panda,67.0,135.0,68.0,Orthodox,8,1,0,False
http://www.ufcstats.com/fighter-details/da603332ad41f165,Saad,Awad,Assassin,71.0,155.0,,,20,9,0,False
http://www.ufcstats.com/fighter-details/26387c19f32dda0f,Javy,Ayala,Eye Candy,73.0,265.0,,,10,5,0,False
http://www.ufcstats.com/fighter-details/6eaec40f724852f4,Jessin,Ayari,,72.0,155.0,73.0,Orthodox,16,5,0,False
http://www.ufcstats.com/fighter-details/46d0a888d87d91ac,Abu,Azaitar,,69.0,185.0,76.0,Orthodox,14,1,1,False
http://www.ufcstats.com/fighter-details/ee18ff42063174df,Ottman,Azaitar,Bulldozer,68.0,155.0,71.0,Switch,12,0,0,False
http://www.ufcstats.com/fighter-details/063649e21bc9d6d5,Luiz,Azeredo,,69.0,154.0,,Orthodox,15,10,0,False
http://www.ufcstats.com/fighter-details/9bcfb40dbcd50568,Luciano,Azevedo,,75.0,161.0,,Orthodox,17,9,1,False
http://www.ufcstats.com/fighter-details/2af2f2e26c4c0402,Hunter,Azure,,68.0,145.0,69.0,Orthodox,8,1,0,False
http://www.ufcstats.com/fighter-details/39cc64bf0a269db9,Niklas,Backstrom,,73.0,145.0,,Orthodox,11,3,0,False
http://www.ufcstats.com/fighter-details/fd5b6598a3b70c0a,Seth,Baczynski,The Polish Pistola,75.0,170.0,75.0,Orthodox,20,14,0,False
http://www.ufcstats.com/fighter-details/c0ab242c40decc55,Ryan,Bader,Darth,74.0,205.0,74.0,Orthodox,23,5,0,False
http://www.ufcstats.com/fighter-details/4fcf6e0c4e0e6664,Izabela,Badurek,,65.0,115.0,,Orthodox,6,3,0,False
http://www.ufcstats.com/fighter-details/82d4c957649faf9b,Miguel,Baeza,Caramel Thunder,74.0,170.0,74.0,Orthodox,9,0,0,False
http://www.ufcstats.com/fighter-details/3dd92ff9fb0412b3,Ali,Bagautinov,Puncher,64.0,125.0,65.0,Orthodox,15,6,0,False
http://www.ufcstats.com/fighter-details/e4d2564ea0e34e2b,Mehdi,Baghdad,The Sultan,73.0,155.0,,Orthodox,11,5,0,False
http://www.ufcstats.com/fighter-details/a52bc1e62cf0b7c6,Melsik,Baghdasaryan,,68.0,145.0,,,4,1,0,False
http://www.ufcstats.com/fighter-details/aec185309b4843d0,Siyar,Bahadurzada,The Great,71.0,170.0,73.0,Orthodox,24,8,1,False
http://www.ufcstats.com/fighter-details/e2b8186b618b00c4,Shamar,Bailey,,69.0,155.0,75.0,Southpaw,16,11,0,False
http://www.ufcstats.com/fighter-details/34dbcd4dbaf21a36,Jordan,Bailey,,69.0,145.0,,,6,3,0,False
http://www.ufcstats.com/fighter-details/7d5b12de1625984e,Scott,Baker,,72.0,210.0,,,1,1,0,False
http://www.ufcstats.com/fighter-details/898337ef520fe4d3,Bryan,Baker,The Beast,75.0,185.0,,Orthodox,18,5,0,False
http://www.ufcstats.com/fighter-details/04b39f4e8eb59d7c,Oluwale,Bamgbose,Holy War Angel,71.0,185.0,78.0,Switch,6,4,0,False
http://www.ufcstats.com/fighter-details/4c4b44e3cf5815b3,Stephen,Banaszak,,72.0,145.0,,,5,5,0,False
http://www.ufcstats.com/fighter-details/5c2ce761399dc9c5,Marcin,Bandel,Bomba,70.0,155.0,,Orthodox,15,7,0,False
http://www.ufcstats.com/fighter-details/2c2caf2f2bab9df5,Humberto,Bandenay,,71.0,145.0,71.0,Southpaw,14,7,0,False
http://www.ufcstats.com/fighter-details/9a2d3567abc02e34,Tae Hyun,Bang,Supernatural,69.0,155.0,71.0,Switch,18,10,0,False
http://www.ufcstats.com/fighter-details/c50ea21fe9ef478d,Yohan,Banks,,,,,,2,1,0,False
